Age_Group,Gender,Account Type,Balance_Bucket,Transaction_Size,Transaction Type,Loan_Size,Loan Type,Loan Status,Rate_Category,Card Type,CC_Utilization_Category,Feedback Type,Resolution Status
Established,Female,Current,Mass-Market,Everyday,Withdrawal,Very Large,Personal,Closed,Low,MasterCard,High,Complaint,Resolved
Established,Male,Current,Comfortable,Very Large,Withdrawal,Medium,Mortgage,Rejected,High,AMEX,Over-Limit,Suggestion,Pending
Young Adult,Other,Current,Comfortable,Everyday,Withdrawal,Large,Personal,Rejected,Moderate,Visa,Low,Praise,Pending
Senior,Other,Savings,Comfortable,Large,Transfer,Very Large,Auto,Closed,Low,AMEX,Moderate,Suggestion,Pending
Senior,Female,Savings,Comfortable,Large,Deposit,Large,Personal,Closed,Low,AMEX,Moderate,Complaint,Resolved
Established,Other,Current,Comfortable,Large,Deposit,Medium,Auto,Rejected,Low,MasterCard,High,Suggestion,Resolved
Pre-Retirement,Male,Current,Mass-Market,Large,Withdrawal,Very Large,Auto,Closed,Low,AMEX,Moderate,Praise,Resolved
Young Adult,Other,Savings,Comfortable,Large,Withdrawal,Large,Mortgage,Closed,High,AMEX,Moderate,Praise,Resolved
Pre-Retirement,Female,Savings,Comfortable,Large,Withdrawal,Large,Auto,Closed,Low,Visa,Low,Complaint,Resolved
Established,Female,Current,Comfortable,Very Large,Deposit,Very Large,Auto,Approved,Low,Visa,Low,Complaint,Pending
Pre-Retirement,Female,Current,Comfortable,Large,Withdrawal,Large,Mortgage,Approved,High,MasterCard,Moderate,Praise,Resolved
Pre-Retirement,Other,Current,Comfortable,Very Large,Withdrawal,Medium,Auto,Approved,High,MasterCard,Over-Limit,Suggestion,Pending
Pre-Retirement,Female,Current,Mass-Market,Large,Transfer,Very Large,Personal,Rejected,High,AMEX,Low,Suggestion,Resolved
Pre-Retirement,Other,Savings,Comfortable,Very Large,Withdrawal,Medium,Personal,Closed,High,Visa,High,Suggestion,Pending
Senior,Female,Savings,Comfortable,Large,Transfer,Very Large,Personal,Approved,Low,AMEX,Over-Limit,Praise,Resolved
Senior,Female,Savings,Comfortable,Very Large,Deposit,Very Large,Auto,Rejected,High,Visa,Low,Suggestion,Pending
Pre-Retirement,Female,Current,Mass-Market,Large,Withdrawal,Large,Auto,Approved,High,MasterCard,Moderate,Complaint,Resolved
Established,Male,Savings,Comfortable,Very Large,Deposit,Medium,Mortgage,Rejected,Low,MasterCard,Over-Limit,Praise,Resolved
Pre-Retirement,Male,Current,Mass-Market,Large,Deposit,Large,Auto,Closed,Low,Visa,Low,Praise,Resolved
Pre-Retirement,Female,Savings,Mass-Market,Very Large,Deposit,Large,Auto,Closed,High,AMEX,Moderate,Praise,Resolved
Established,Female,Current,Below-Minimum,Everyday,Deposit,Medium,Personal,Closed,Low,MasterCard,High,Complaint,Pending
Established,Other,Current,Comfortable,Large,Deposit,Medium,Personal,Approved,Low,MasterCard,Moderate,Suggestion,Resolved
Established,Other,Savings,Comfortable,Large,Transfer,Medium,Auto,Rejected,Moderate,Visa,Over-Limit,Complaint,Resolved
Early Career,Male,Savings,Comfortable,Very Large,Transfer,Large,Mortgage,Closed,High,AMEX,Low,Suggestion,Pending
Established,Other,Savings,Mass-Market,Very Large,Deposit,Large,Personal,Rejected,Moderate,Visa,Moderate,Complaint,Resolved
Early Career,Other,Current,Comfortable,Everyday,Deposit,Very Large,Auto,Rejected,Low,MasterCard,Moderate,Complaint,Pending
Pre-Retirement,Other,Current,Comfortable,Everyday,Withdrawal,Medium,Mortgage,Rejected,Low,AMEX,Low,Suggestion,Resolved
Young Adult,Other,Current,Mass-Market,Very Large,Deposit,Medium,Mortgage,Closed,Low,AMEX,Over-Limit,Suggestion,Pending
Established,Male,Savings,Comfortable,Large,Transfer,Medium,Auto,Closed,Moderate,Visa,Moderate,Suggestion,Resolved
Young Adult,Male,Current,Mass-Market,Large,Transfer,Very Large,Personal,Closed,Low,Visa,Moderate,Suggestion,Resolved
Established,Other,Savings,Comfortable,Large,Transfer,Medium,Mortgage,Closed,Low,MasterCard,Moderate,Complaint,Pending
Established,Other,Current,Comfortable,Everyday,Transfer,Very Large,Mortgage,Closed,Low,Visa,High,Praise,Resolved
Established,Male,Savings,Mass-Market,Large,Deposit,Very Large,Mortgage,Closed,Moderate,AMEX,High,Praise,Resolved
Early Career,Female,Current,Mass-Market,Large,Transfer,Small,Personal,Closed,High,Visa,Moderate,Complaint,Resolved
Early Career,Other,Savings,Mass-Market,Very Large,Transfer,Medium,Auto,Closed,High,Visa,Moderate,Praise,Pending
Pre-Retirement,Female,Savings,Mass-Market,Everyday,Transfer,Medium,Mortgage,Approved,Low,Visa,Moderate,Suggestion,Pending
Senior,Other,Current,Comfortable,Large,Withdrawal,Medium,Personal,Rejected,High,Visa,Over-Limit,Suggestion,Pending
Pre-Retirement,Male,Current,Below-Minimum,Large,Deposit,Large,Personal,Rejected,Moderate,MasterCard,Low,Complaint,Resolved
Established,Other,Current,Comfortable,Large,Transfer,Large,Mortgage,Approved,High,Visa,High,Praise,Pending
Young Adult,Female,Current,Comfortable,Everyday,Transfer,Very Large,Personal,Closed,High,AMEX,Moderate,Complaint,Pending
Senior,Male,Savings,Comfortable,Everyday,Deposit,Medium,Mortgage,Closed,High,Visa,Moderate,Suggestion,Resolved
Young Adult,Other,Current,Comfortable,Everyday,Transfer,Medium,Personal,Approved,Low,AMEX,Low,Suggestion,Resolved
Early Career,Other,Savings,Mass-Market,Large,Transfer,Large,Auto,Rejected,Low,Visa,Moderate,Complaint,Resolved
Established,Male,Current,Mass-Market,Very Large,Transfer,Medium,Personal,Approved,Moderate,Visa,Low,Praise,Pending
Pre-Retirement,Other,Current,Comfortable,Large,Withdrawal,Large,Auto,Closed,Moderate,MasterCard,Moderate,Complaint,Pending
Young Adult,Male,Savings,Comfortable,Everyday,Transfer,Medium,Auto,Rejected,High,AMEX,Moderate,Complaint,Pending
Established,Other,Current,Comfortable,Everyday,Transfer,Medium,Mortgage,Approved,High,Visa,Low,Complaint,Resolved
Early Career,Male,Current,Mass-Market,Large,Deposit,Very Large,Personal,Rejected,Low,Visa,Low,Praise,Resolved
Young Adult,Other,Current,Comfortable,Large,Deposit,Very Large,Auto,Closed,Moderate,AMEX,Low,Suggestion,Pending
Early Career,Male,Current,Comfortable,Everyday,Withdrawal,Medium,Mortgage,Closed,Low,AMEX,High,Praise,Resolved
Pre-Retirement,Male,Current,Comfortable,Everyday,Deposit,Large,Personal,Closed,High,Visa,Low,Suggestion,Pending
Pre-Retirement,Other,Current,Below-Minimum,Large,Deposit,Medium,Auto,Approved,High,MasterCard,Low,Complaint,Resolved
Early Career,Male,Savings,Mass-Market,Very Large,Withdrawal,Small,Personal,Closed,High,MasterCard,Low,Suggestion,Pending
Pre-Retirement,Other,Savings,Comfortable,Large,Transfer,Large,Personal,Rejected,High,AMEX,Low,Complaint,Pending
Established,Other,Current,Comfortable,Large,Deposit,Medium,Mortgage,Rejected,Low,Visa,Low,Suggestion,Resolved
Pre-Retirement,Other,Savings,Comfortable,Large,Deposit,Medium,Mortgage,Approved,Low,MasterCard,Low,Complaint,Resolved
Pre-Retirement,Male,Current,Comfortable,Very Large,Withdrawal,Medium,Mortgage,Approved,Moderate,MasterCard,Low,Praise,Resolved
Pre-Retirement,Other,Current,Comfortable,Large,Deposit,Large,Personal,Approved,High,Visa,Moderate,Praise,Pending
Young Adult,Male,Current,Comfortable,Everyday,Deposit,Medium,Auto,Rejected,Low,MasterCard,Moderate,Complaint,Pending
Early Career,Female,Savings,Comfortable,Everyday,Transfer,Very Large,Personal,Approved,High,MasterCard,Moderate,Complaint,Resolved
Established,Female,Savings,Comfortable,Very Large,Withdrawal,Medium,Personal,Approved,Low,Visa,Moderate,Suggestion,Resolved
Established,Female,Current,Mass-Market,Very Large,Transfer,Medium,Mortgage,Rejected,Moderate,Visa,Moderate,Suggestion,Pending
Established,Other,Current,Comfortable,Very Large,Transfer,Very Large,Personal,Approved,High,MasterCard,Moderate,Praise,Resolved
Senior,Male,Current,Comfortable,Large,Transfer,Large,Auto,Closed,Moderate,MasterCard,Moderate,Praise,Pending
Young Adult,Other,Savings,Mass-Market,Large,Withdrawal,Medium,Mortgage,Rejected,High,AMEX,Over-Limit,Suggestion,Pending
Pre-Retirement,Male,Savings,Comfortable,Large,Deposit,Large,Personal,Approved,High,MasterCard,High,Praise,Resolved
Established,Female,Current,Mass-Market,Large,Transfer,Medium,Auto,Rejected,Moderate,MasterCard,Low,Suggestion,Resolved
Senior,Female,Current,Below-Minimum,Very Large,Withdrawal,Very Large,Personal,Closed,High,Visa,Over-Limit,Complaint,Resolved
Pre-Retirement,Female,Current,Mass-Market,Very Large,Deposit,Small,Mortgage,Rejected,Moderate,Visa,Moderate,Praise,Pending
Pre-Retirement,Other,Current,Comfortable,Large,Withdrawal,Very Large,Personal,Closed,Moderate,MasterCard,High,Complaint,Pending
Established,Other,Savings,Mass-Market,Very Large,Transfer,Large,Auto,Approved,Moderate,MasterCard,Moderate,Complaint,Pending
Early Career,Male,Savings,Mass-Market,Large,Withdrawal,Very Large,Personal,Closed,Low,MasterCard,Low,Praise,Resolved
Established,Male,Savings,Mass-Market,Very Large,Transfer,Very Large,Auto,Closed,Moderate,MasterCard,Over-Limit,Praise,Resolved
Pre-Retirement,Female,Savings,Mass-Market,Large,Withdrawal,Medium,Personal,Closed,Low,AMEX,Moderate,Suggestion,Pending
Pre-Retirement,Other,Current,Mass-Market,Everyday,Transfer,Very Large,Auto,Closed,Low,AMEX,Over-Limit,Complaint,Pending
Pre-Retirement,Other,Savings,Mass-Market,Very Large,Deposit,Medium,Personal,Rejected,Moderate,AMEX,Low,Suggestion,Resolved
Young Adult,Male,Current,Below-Minimum,Very Large,Withdrawal,Medium,Personal,Rejected,Low,AMEX,Low,Complaint,Pending
Established,Male,Savings,Below-Minimum,Large,Withdrawal,Large,Personal,Closed,High,AMEX,Moderate,Praise,Pending
Early Career,Other,Savings,Comfortable,Large,Deposit,Very Large,Auto,Approved,Moderate,AMEX,Moderate,Complaint,Pending
Pre-Retirement,Other,Savings,Mass-Market,Very Large,Transfer,Medium,Personal,Rejected,Moderate,AMEX,Moderate,Praise,Resolved
Pre-Retirement,Male,Current,Mass-Market,Large,Transfer,Very Large,Personal,Closed,High,Visa,Low,Praise,Resolved
Pre-Retirement,Other,Savings,Below-Minimum,Large,Transfer,Large,Mortgage,Closed,Moderate,MasterCard,Low,Suggestion,Pending
Young Adult,Other,Savings,Mass-Market,Large,Deposit,Very Large,Personal,Rejected,Low,Visa,Low,Complaint,Resolved
Pre-Retirement,Female,Savings,Comfortable,Large,Withdrawal,Large,Personal,Approved,High,AMEX,Low,Praise,Resolved
Pre-Retirement,Other,Savings,Mass-Market,Large,Withdrawal,Medium,Auto,Closed,High,MasterCard,Moderate,Complaint,Pending
Pre-Retirement,Other,Savings,Comfortable,Large,Withdrawal,Very Large,Mortgage,Approved,Low,AMEX,Low,Praise,Resolved
Early Career,Other,Savings,Mass-Market,Very Large,Deposit,Small,Mortgage,Closed,High,MasterCard,Moderate,Suggestion,Resolved
Senior,Male,Current,Mass-Market,Everyday,Transfer,Large,Mortgage,Closed,Moderate,MasterCard,Over-Limit,Praise,Resolved
Early Career,Female,Current,Comfortable,Everyday,Transfer,Very Large,Mortgage,Approved,Low,Visa,High,Complaint,Resolved
Senior,Male,Current,Comfortable,Everyday,Transfer,Very Large,Auto,Rejected,Moderate,MasterCard,Low,Praise,Resolved
Established,Female,Current,Mass-Market,Very Large,Withdrawal,Large,Personal,Approved,High,Visa,Low,Praise,Pending
Senior,Female,Savings,Below-Minimum,Everyday,Deposit,Medium,Personal,Approved,Moderate,AMEX,Over-Limit,Suggestion,Resolved
Established,Other,Current,Comfortable,Large,Transfer,Large,Auto,Closed,Moderate,Visa,Low,Praise,Resolved
Established,Female,Current,Comfortable,Very Large,Transfer,Large,Auto,Rejected,Low,AMEX,Low,Suggestion,Pending
Young Adult,Female,Current,Comfortable,Everyday,Withdrawal,Very Large,Auto,Approved,High,MasterCard,Moderate,Complaint,Resolved
Young Adult,Other,Savings,Mass-Market,Large,Transfer,Medium,Personal,Rejected,Low,MasterCard,Moderate,Suggestion,Resolved
Young Adult,Other,Savings,Below-Minimum,Large,Withdrawal,Large,Personal,Rejected,Low,MasterCard,Low,Praise,Pending
Early Career,Female,Savings,Comfortable,Everyday,Transfer,Medium,Auto,Rejected,High,Visa,Low,Praise,Resolved
Pre-Retirement,Male,Current,Below-Minimum,Everyday,Withdrawal,Large,Mortgage,Approved,High,AMEX,Moderate,Suggestion,Resolved
Established,Female,Current,Mass-Market,Very Large,Withdrawal,Medium,Auto,Closed,Moderate,AMEX,Moderate,Complaint,Resolved
Established,Male,Savings,Mass-Market,Very Large,Transfer,Medium,Auto,Rejected,Low,MasterCard,Moderate,Complaint,Resolved
Early Career,Male,Savings,Mass-Market,Very Large,Withdrawal,Very Large,Mortgage,Closed,Moderate,AMEX,Over-Limit,Praise,Pending
Young Adult,Female,Current,Comfortable,Large,Transfer,Large,Mortgage,Closed,High,MasterCard,Over-Limit,Suggestion,Resolved
Early Career,Male,Current,Mass-Market,Large,Transfer,Large,Mortgage,Approved,Moderate,Visa,Moderate,Praise,Resolved
Established,Female,Savings,Comfortable,Very Large,Deposit,Very Large,Mortgage,Approved,Low,MasterCard,Low,Praise,Pending
Early Career,Male,Savings,Comfortable,Very Large,Transfer,Medium,Auto,Approved,High,MasterCard,Moderate,Praise,Resolved
Senior,Male,Current,Comfortable,Very Large,Transfer,Medium,Auto,Approved,High,AMEX,Over-Limit,Suggestion,Resolved
Young Adult,Female,Savings,Mass-Market,Large,Deposit,Medium,Personal,Closed,Moderate,Visa,Low,Praise,Resolved
Established,Other,Savings,Comfortable,Very Large,Deposit,Large,Personal,Closed,High,Visa,Low,Complaint,Resolved
Early Career,Other,Savings,Comfortable,Large,Withdrawal,Large,Auto,Approved,Low,Visa,Moderate,Complaint,Resolved
Pre-Retirement,Female,Savings,Mass-Market,Very Large,Deposit,Large,Personal,Closed,Moderate,MasterCard,Low,Complaint,Resolved
Young Adult,Female,Savings,Below-Minimum,Very Large,Deposit,Large,Personal,Approved,Low,AMEX,Moderate,Suggestion,Pending
Young Adult,Other,Current,Comfortable,Everyday,Withdrawal,Large,Personal,Closed,High,Visa,Over-Limit,Complaint,Pending
Pre-Retirement,Other,Current,Comfortable,Everyday,Deposit,Very Large,Mortgage,Closed,High,MasterCard,Over-Limit,Suggestion,Pending
Pre-Retirement,Male,Savings,Below-Minimum,Large,Transfer,Large,Mortgage,Approved,High,MasterCard,Moderate,Complaint,Resolved
Pre-Retirement,Male,Current,Comfortable,Large,Deposit,Very Large,Mortgage,Approved,Moderate,AMEX,Low,Complaint,Resolved
Young Adult,Male,Current,Mass-Market,Very Large,Withdrawal,Medium,Auto,Closed,Moderate,MasterCard,Moderate,Complaint,Pending
Young Adult,Other,Savings,Comfortable,Everyday,Transfer,Medium,Mortgage,Closed,High,MasterCard,Moderate,Praise,Resolved
Early Career,Female,Savings,Comfortable,Very Large,Withdrawal,Large,Personal,Approved,High,AMEX,Over-Limit,Suggestion,Resolved
Senior,Male,Current,Below-Minimum,Large,Deposit,Large,Auto,Closed,Low,MasterCard,Moderate,Praise,Pending
Established,Female,Current,Below-Minimum,Very Large,Transfer,Large,Auto,Rejected,Low,MasterCard,Moderate,Praise,Pending
Senior,Other,Current,Mass-Market,Very Large,Deposit,Very Large,Personal,Rejected,High,MasterCard,Low,Suggestion,Pending
Established,Male,Savings,Comfortable,Very Large,Withdrawal,Medium,Personal,Rejected,Moderate,Visa,High,Praise,Resolved
Established,Other,Savings,Comfortable,Very Large,Withdrawal,Small,Mortgage,Approved,Low,Visa,Moderate,Praise,Resolved
Established,Female,Current,Comfortable,Very Large,Deposit,Large,Personal,Approved,High,MasterCard,Moderate,Complaint,Resolved
Early Career,Male,Savings,Mass-Market,Very Large,Withdrawal,Very Large,Mortgage,Rejected,High,MasterCard,Low,Suggestion,Pending
Pre-Retirement,Female,Current,Mass-Market,Large,Deposit,Large,Auto,Closed,Low,MasterCard,Moderate,Complaint,Pending
Established,Female,Savings,Comfortable,Large,Withdrawal,Large,Mortgage,Closed,Low,AMEX,Low,Suggestion,Pending
Pre-Retirement,Male,Savings,Mass-Market,Very Large,Withdrawal,Medium,Auto,Approved,High,Visa,Moderate,Praise,Pending
Senior,Male,Savings,Mass-Market,Everyday,Withdrawal,Large,Auto,Approved,Low,MasterCard,Over-Limit,Suggestion,Resolved
Established,Other,Current,Mass-Market,Very Large,Withdrawal,Large,Mortgage,Approved,High,AMEX,Over-Limit,Suggestion,Pending
Early Career,Male,Savings,Comfortable,Large,Transfer,Medium,Auto,Rejected,Low,AMEX,Moderate,Praise,Pending
Pre-Retirement,Male,Savings,Mass-Market,Large,Transfer,Medium,Personal,Rejected,Low,MasterCard,Low,Praise,Resolved
Early Career,Male,Savings,Mass-Market,Large,Deposit,Medium,Auto,Rejected,High,Visa,Moderate,Complaint,Resolved
Senior,Male,Savings,Comfortable,Very Large,Deposit,Small,Mortgage,Approved,Low,AMEX,Low,Complaint,Pending
Young Adult,Male,Savings,Comfortable,Everyday,Deposit,Medium,Auto,Rejected,Low,MasterCard,Low,Praise,Resolved
Established,Other,Current,Mass-Market,Very Large,Deposit,Very Large,Mortgage,Closed,High,MasterCard,Low,Complaint,Pending
Established,Female,Savings,Mass-Market,Very Large,Withdrawal,Large,Mortgage,Rejected,Moderate,Visa,Low,Suggestion,Pending
Early Career,Other,Savings,Comfortable,Very Large,Withdrawal,Medium,Mortgage,Approved,Moderate,Visa,Low,Complaint,Resolved
Established,Female,Current,Comfortable,Very Large,Withdrawal,Large,Auto,Rejected,High,MasterCard,Low,Praise,Pending
Established,Male,Savings,Mass-Market,Large,Deposit,Very Large,Personal,Rejected,High,AMEX,Moderate,Praise,Resolved
Established,Other,Savings,Mass-Market,Large,Transfer,Very Large,Auto,Closed,High,Visa,Low,Complaint,Resolved
Early Career,Female,Savings,Mass-Market,Everyday,Deposit,Large,Mortgage,Rejected,Low,MasterCard,Over-Limit,Praise,Resolved
Senior,Female,Savings,Mass-Market,Very Large,Transfer,Medium,Mortgage,Rejected,Moderate,Visa,Low,Suggestion,Resolved
Pre-Retirement,Male,Current,Mass-Market,Very Large,Transfer,Medium,Auto,Approved,High,AMEX,Moderate,Complaint,Resolved
Pre-Retirement,Male,Savings,Comfortable,Everyday,Withdrawal,Medium,Mortgage,Closed,Low,Visa,High,Suggestion,Pending
Established,Female,Savings,Comfortable,Very Large,Withdrawal,Large,Mortgage,Closed,Moderate,AMEX,Moderate,Praise,Pending
Early Career,Other,Savings,Comfortable,Everyday,Deposit,Medium,Mortgage,Rejected,Low,AMEX,Over-Limit,Complaint,Pending
Early Career,Female,Savings,Below-Minimum,Large,Deposit,Large,Auto,Closed,Moderate,MasterCard,Moderate,Complaint,Resolved
Senior,Other,Current,Comfortable,Everyday,Transfer,Very Large,Auto,Approved,Low,MasterCard,Low,Complaint,Pending
Senior,Other,Savings,Mass-Market,Everyday,Transfer,Very Large,Personal,Closed,Moderate,AMEX,Over-Limit,Praise,Pending
Pre-Retirement,Female,Savings,Mass-Market,Large,Withdrawal,Very Large,Personal,Rejected,Low,MasterCard,Moderate,Suggestion,Resolved
Established,Other,Current,Comfortable,Very Large,Transfer,Medium,Auto,Rejected,High,AMEX,Low,Suggestion,Resolved
Pre-Retirement,Female,Savings,Mass-Market,Everyday,Transfer,Very Large,Mortgage,Rejected,Low,MasterCard,Low,Complaint,Pending
Pre-Retirement,Female,Current,Mass-Market,Very Large,Deposit,Large,Mortgage,Approved,High,AMEX,Moderate,Complaint,Pending
Early Career,Male,Savings,Comfortable,Everyday,Deposit,Large,Mortgage,Approved,Low,AMEX,Low,Suggestion,Pending
Young Adult,Female,Current,Comfortable,Everyday,Transfer,Medium,Auto,Closed,Moderate,MasterCard,Over-Limit,Suggestion,Pending
Young Adult,Female,Current,Below-Minimum,Very Large,Transfer,Very Large,Auto,Rejected,High,MasterCard,Moderate,Complaint,Pending
Established,Male,Current,Below-Minimum,Large,Transfer,Small,Auto,Approved,Low,MasterCard,Moderate,Praise,Resolved
Established,Male,Current,Comfortable,Large,Deposit,Medium,Mortgage,Approved,High,Visa,Moderate,Complaint,Resolved
Young Adult,Other,Savings,Comfortable,Large,Deposit,Medium,Mortgage,Closed,High,MasterCard,Low,Complaint,Pending
Senior,Other,Savings,Comfortable,Very Large,Withdrawal,Very Large,Mortgage,Rejected,Moderate,AMEX,Over-Limit,Suggestion,Resolved
Young Adult,Male,Current,Comfortable,Very Large,Withdrawal,Large,Auto,Closed,Low,MasterCard,Low,Praise,Resolved
Young Adult,Male,Current,Mass-Market,Everyday,Withdrawal,Very Large,Mortgage,Rejected,Moderate,AMEX,High,Complaint,Pending
Established,Male,Current,Mass-Market,Everyday,Withdrawal,Medium,Auto,Rejected,High,MasterCard,High,Praise,Resolved
Established,Female,Savings,Below-Minimum,Everyday,Deposit,Medium,Auto,Closed,Moderate,AMEX,High,Complaint,Resolved
Early Career,Female,Current,Mass-Market,Everyday,Withdrawal,Large,Mortgage,Approved,High,AMEX,Moderate,Suggestion,Resolved
Pre-Retirement,Female,Savings,Mass-Market,Very Large,Deposit,Medium,Personal,Rejected,High,Visa,Low,Praise,Pending
Early Career,Male,Savings,Comfortable,Everyday,Deposit,Large,Auto,Rejected,High,Visa,Low,Suggestion,Pending
Young Adult,Other,Current,Mass-Market,Very Large,Withdrawal,Small,Auto,Approved,Low,AMEX,High,Complaint,Resolved
Early Career,Other,Current,Mass-Market,Very Large,Deposit,Large,Mortgage,Approved,Moderate,AMEX,Moderate,Suggestion,Pending
Young Adult,Female,Savings,Comfortable,Very Large,Transfer,Very Large,Personal,Closed,High,AMEX,Low,Complaint,Resolved
Pre-Retirement,Female,Current,Mass-Market,Everyday,Withdrawal,Medium,Personal,Approved,High,MasterCard,Over-Limit,Complaint,Resolved
Pre-Retirement,Male,Current,Mass-Market,Very Large,Withdrawal,Medium,Mortgage,Approved,Low,MasterCard,Moderate,Praise,Resolved
Early Career,Male,Savings,Comfortable,Very Large,Transfer,Medium,Personal,Closed,High,MasterCard,Low,Suggestion,Pending
Established,Other,Current,Below-Minimum,Very Large,Withdrawal,Large,Mortgage,Closed,Low,AMEX,Moderate,Suggestion,Pending
Young Adult,Other,Current,Comfortable,Very Large,Deposit,Large,Mortgage,Closed,Moderate,AMEX,Moderate,Complaint,Resolved
Pre-Retirement,Male,Savings,Comfortable,Very Large,Deposit,Very Large,Personal,Rejected,Low,MasterCard,Low,Complaint,Pending
Young Adult,Other,Current,Mass-Market,Very Large,Deposit,Very Large,Auto,Rejected,High,Visa,Low,Praise,Resolved
Early Career,Other,Current,Comfortable,Large,Withdrawal,Very Large,Personal,Rejected,Low,Visa,Moderate,Complaint,Pending
Pre-Retirement,Female,Savings,Mass-Market,Large,Transfer,Medium,Auto,Approved,High,Visa,Moderate,Suggestion,Resolved
Early Career,Male,Current,Comfortable,Very Large,Transfer,Large,Auto,Approved,Low,Visa,High,Suggestion,Resolved
Senior,Male,Savings,Below-Minimum,Everyday,Withdrawal,Very Large,Auto,Closed,High,Visa,Over-Limit,Complaint,Resolved
Senior,Male,Current,Comfortable,Very Large,Deposit,Large,Personal,Closed,Low,Visa,Moderate,Praise,Resolved
Young Adult,Female,Savings,Comfortable,Large,Deposit,Very Large,Auto,Rejected,Moderate,Visa,High,Suggestion,Pending
Established,Male,Savings,Comfortable,Very Large,Withdrawal,Large,Mortgage,Rejected,Low,Visa,Over-Limit,Praise,Resolved
Pre-Retirement,Other,Current,Comfortable,Very Large,Withdrawal,Large,Mortgage,Approved,High,MasterCard,High,Complaint,Pending
Senior,Female,Savings,Comfortable,Everyday,Deposit,Small,Auto,Rejected,Moderate,AMEX,Moderate,Suggestion,Resolved
Established,Female,Current,Mass-Market,Everyday,Withdrawal,Small,Personal,Closed,High,MasterCard,Over-Limit,Suggestion,Pending
Established,Male,Savings,Comfortable,Everyday,Transfer,Large,Auto,Rejected,High,AMEX,Moderate,Suggestion,Pending
Established,Other,Current,Comfortable,Very Large,Transfer,Large,Mortgage,Closed,Low,AMEX,Moderate,Suggestion,Resolved
Pre-Retirement,Male,Savings,Comfortable,Very Large,Withdrawal,Large,Mortgage,Rejected,Moderate,AMEX,Low,Suggestion,Pending
Young Adult,Other,Savings,Comfortable,Everyday,Deposit,Medium,Auto,Closed,Low,Visa,Moderate,Complaint,Resolved
Established,Male,Current,Comfortable,Large,Transfer,Very Large,Personal,Closed,Low,AMEX,Over-Limit,Complaint,Resolved
Early Career,Other,Current,Comfortable,Large,Withdrawal,Very Large,Mortgage,Closed,Moderate,MasterCard,Moderate,Suggestion,Pending
Established,Other,Savings,Comfortable,Everyday,Deposit,Large,Personal,Approved,Low,AMEX,High,Praise,Pending
Pre-Retirement,Other,Savings,Mass-Market,Very Large,Withdrawal,Medium,Mortgage,Approved,Moderate,MasterCard,Over-Limit,Complaint,Resolved
Young Adult,Female,Savings,Comfortable,Very Large,Withdrawal,Medium,Mortgage,Approved,Low,MasterCard,Over-Limit,Praise,Pending
Established,Male,Savings,Below-Minimum,Large,Withdrawal,Large,Auto,Closed,Low,MasterCard,Low,Complaint,Pending
Early Career,Male,Savings,Comfortable,Large,Withdrawal,Very Large,Mortgage,Rejected,Moderate,Visa,Moderate,Suggestion,Pending
Young Adult,Male,Savings,Comfortable,Large,Withdrawal,Large,Auto,Approved,Moderate,Visa,Low,Praise,Pending
Early Career,Female,Savings,Mass-Market,Large,Deposit,Very Large,Mortgage,Rejected,Low,Visa,Low,Praise,Pending
Senior,Other,Savings,Mass-Market,Very Large,Transfer,Large,Mortgage,Approved,Moderate,MasterCard,Over-Limit,Praise,Resolved
Established,Female,Current,Mass-Market,Very Large,Deposit,Large,Personal,Rejected,High,MasterCard,Moderate,Suggestion,Pending
Established,Female,Current,Mass-Market,Large,Transfer,Large,Auto,Rejected,High,MasterCard,Moderate,Suggestion,Pending
Pre-Retirement,Other,Current,Comfortable,Everyday,Withdrawal,Large,Personal,Closed,High,MasterCard,Moderate,Complaint,Pending
Pre-Retirement,Male,Current,Comfortable,Very Large,Withdrawal,Very Large,Auto,Approved,High,MasterCard,Moderate,Suggestion,Resolved
Early Career,Female,Savings,Comfortable,Large,Deposit,Large,Personal,Closed,Moderate,MasterCard,Over-Limit,Complaint,Pending
Pre-Retirement,Other,Savings,Below-Minimum,Very Large,Deposit,Very Large,Mortgage,Closed,Moderate,MasterCard,Low,Praise,Resolved
Established,Other,Current,Mass-Market,Large,Transfer,Very Large,Auto,Rejected,Low,Visa,Moderate,Complaint,Resolved
Early Career,Male,Savings,Below-Minimum,Everyday,Withdrawal,Very Large,Auto,Rejected,Low,AMEX,Low,Complaint,Resolved
Pre-Retirement,Other,Savings,Mass-Market,Everyday,Deposit,Very Large,Auto,Rejected,Moderate,MasterCard,Over-Limit,Praise,Resolved
Established,Other,Current,Comfortable,Large,Withdrawal,Large,Mortgage,Closed,High,Visa,Moderate,Suggestion,Pending
Established,Other,Current,Below-Minimum,Large,Withdrawal,Very Large,Mortgage,Approved,Low,Visa,Moderate,Praise,Resolved
Established,Male,Current,Below-Minimum,Large,Withdrawal,Very Large,Auto,Closed,Low,MasterCard,Low,Complaint,Resolved
Established,Male,Savings,Mass-Market,Large,Transfer,Very Large,Personal,Approved,Moderate,Visa,Moderate,Suggestion,Resolved
Senior,Other,Savings,Comfortable,Very Large,Withdrawal,Medium,Personal,Closed,Low,MasterCard,Moderate,Complaint,Resolved
Early Career,Other,Current,Comfortable,Very Large,Transfer,Very Large,Mortgage,Closed,Moderate,AMEX,Over-Limit,Suggestion,Resolved
